dif,R,RMSE,KGE,name,dif_mean,R_rank,RMSE_rank,KGE_rank,rank
12.9,0.817213788,7.686311468,0.872569022,Budburstcubic_SoS_threshold_NDPI13,-1.60399274,4,2,1,7
14.9,0.826043315,7.045095269,0.764687327,Budburstcubic_SoS_threshold_EVI13,0.618229482,2,1,4,7
7.9,0.810586912,7.894385963,0.780896234,Budburstfilter_cubic_SoS_threshold_NDPI13,-2.529918666,7,4,3,14
13.9,0.810157032,8.043985307,0.828640093,Budburstfilter_cubic_SoS_threshold_NDPI1,1.655266519,8,5,2,15
19.9,0.819373271,8.32923021,0.702706054,Budburstcubic_SoS_threshold_NDPI1,2.507118371,3,7,6,16
16.9,0.813339071,8.100966106,0.698037784,Budburstfilter_cubic_SoS_threshold_EVI1,3.39600726,5,6,7,18
9.9,0.802951354,7.777561291,0.732465223,Budburstfilter_cubic_SoS_threshold_EVI13,-2.159548296,11,3,5,19
6.9,0.812226387,9.131209071,0.53089869,Budburstcubic_SoS_threshold_NDPI2,-5.455844592,6,9,11,26
7.9,0.804619619,8.578609288,0.543341984,Budburstcubic_SoS_threshold_EVI2,-4.381770518,9,8,10,27
3.9,0.794812808,9.722953246,0.460643533,Budburstfilter_cubic_SoS_threshold_NDPI2,-6.085474221,12,11,15,38
21.9,0.847208536,10.09979567,0.334851475,Budburstcubic_SoS_threshold_EVI1,7.655266519,1,13,26,40
4.9,0.780938792,10.03887487,0.417728205,Budburstfilter_cubic_SoS_threshold_EVI2,-6.344733481,13,12,21,46
0.9,0.655828696,9.622433883,0.244083378,Budburstdoublelogistic_SoS_threshold_EVI13,-1.085474221,29,10,37,76
7.9,0.571124156,13.49213772,0.462306266,Budburstmintomaxcubic_SoS_threshold_EVI2,-4.60399274,48,22,14,84
5.9,0.649350464,10.80058059,0.147176718,Budburstdoublelogistic_SoS_threshold_EVI1,4.877488741,30,14,48,92
-3.1,0.680804143,10.86835853,0.131367613,Budburstdoublelogistic_SoS_threshold_EVI2,-5.529918666,28,15,49,92
-5.1,0.596219145,11.63795267,0.165196883,Budburstdoublelogistic_SoS_threshold_NDPI2,-6.011400147,36,17,44,97
-2.1,0.746744448,14.51006104,-0.036329286,Budburstcubic_SoS_threshold_NDPI3,-11.93732607,19,29,63,111
-4.1,0.533893435,14.08042179,0.331584501,BudburstmintomaxSoS_threshold_NDPI1,-8.159548296,60,27,27,114
-1.1,0.73819468,14.54624507,-0.044768279,Budburstcubic_SoS_threshold_EVI3,-11.90028904,21,30,64,115
-4.1,0.557513988,15.2203739,0.235890538,BudburstmintomaxSoS_threshold_EVI1,-9.641029777,52,33,39,124
-4.1,0.721884818,15.21886547,-0.092984304,Budburstfilter_cubic_SoS_threshold_NDPI3,-12.5669557,23,32,69,124
-3.1,0.713677998,15.83152873,-0.144885388,Budburstfilter_cubic_SoS_threshold_EVI3,-13.23362237,24,35,76,135
-9.1,0.688236688,15.36539768,-0.208610831,Budburstdoublelogistic_SoS_threshold_EVI3,-12.30769644,26,34,81,141
-1.1,0.462888649,11.10935301,0.351332987,Budburstdoublelogistic_SoS_threshold_NDPI13,0.02563689,101,16,25,142
-1.1,0.432539287,11.70477965,0.419039615,Budburstmintomaxdoublelogistic_SoS_threshold_NDPI1,1.951562816,108,18,19,145
-4.1,0.513959666,15.92696917,0.192847429,BudburstfilterSoS_threshold_EVI1,-10.19658533,70,36,42,148
13.9,0.366448345,12.68578548,0.361420024,Budburstfilterdoublelogistic_SoS_threshold_NDPI1,3.803414667,121,21,23,165
-11.1,0.634599353,17.16156024,-0.288624972,Budburstdoublelogistic_SoS_threshold_NDPI3,-14.23362237,33,44,89,166
-5.1,0.536037124,17.74301195,-0.035883531,BudburstSoS_threshold_EVI13,-13.08547422,58,49,62,169
15.9,0.43226604,12.36721568,0.210151038,Budburstmintomaxdoublelogistic_SoS_threshold_EVI1,5.02563689,109,20,41,170
-5.1,0.529111257,17.73073633,-0.017602532,BudburstmintomaxSoS_threshold_NDPI13,-12.82621496,64,48,60,172
9.9,0.343627608,12.08064615,0.310990786,Budburstmintomaxdoublelogistic_SoS_threshold_EVI13,-1.60399274,125,19,30,174
-1.1,0.639602128,18.71808032,-0.215658341,Budburstmintomaxcubic_SoS_threshold_EVI3,-14.82621496,32,61,82,175
-4.1,0.553955027,16.57319983,-0.233321976,BudburstSoS_threshold_EVI1,-6.566955703,53,39,85,177
-4.1,0.513654644,17.75134715,-0.007799765,BudburstSoS_threshold_NDVI2,-12.71510385,71,50,58,179
6.9,0.214546672,13.77455178,0.352557624,Budburstfilterdoublelogistic_SoS_threshold_NDPI13,-3.715103851,134,23,24,181
-4.1,0.513395746,17.81541686,-0.01168234,BudburstmintomaxSoS_threshold_NDVI2,-12.75214089,72,52,59,183
-4.1,0.390033676,16.51897211,0.28675691,BudburstmintomaxSoS_threshold_NDVI13,-5.122511259,114,38,35,187
-5.1,0.516872838,18.15052709,-0.065138898,BudburstmintomaxSoS_threshold_EVI13,-13.45584459,67,58,66,191
-5.1,0.502983445,17.99392278,-0.030183182,BudburstfilterSoS_threshold_NDVI2,-13.01140015,75,56,61,192
-9.1,0.292181048,13.87004568,0.225037992,Budburstmintomaxdoublelogistic_SoS_threshold_NDPI13,-5.937326073,129,25,40,194
-12.1,0.605381243,19.89721808,-0.321591332,BudburstSoS_threshold_EVI2,-16.67806681,35,69,91,195
-11.1,0.56386347,19.33005012,-0.218341184,BudburstmintomaxSoS_threshold_NDPI2,-15.38177052,50,63,83,196
-4.1,0.358263205,16.96896091,0.260963176,BudburstfilterSoS_threshold_NDVI13,-4.97436311,123,41,36,200
13.9,0.138595476,13.89373746,0.295763389,Budburstfilterdoublelogistic_SoS_threshold_EVI1,3.321933186,143,26,33,202
5.9,0.270091091,14.14640803,0.160326383,Budburstmintomaxdoublelogistic_SoS_threshold_EVI2,-6.529918666,130,28,45,203
-12.1,0.594499163,20.20227769,-0.345888029,BudburstmintomaxSoS_threshold_EVI2,-16.97436311,37,72,94,203
-3.1,0.198056504,13.86268199,0.15082864,Budburstfilter_cubic_SoS_threshold_NDVI3,-5.381770518,135,24,47,206
-12.1,0.590810712,20.33742311,-0.362819346,BudburstfilterSoS_threshold_EVI2,-17.1595483,38,74,97,209
7.9,0.053578778,14.5700108,0.316678387,Budburstfilterdoublelogistic_SoS_threshold_EVI13,-3.381770518,150,31,29,210
-5.1,0.579267178,20.2872148,-0.338884591,BudburstSoS_threshold_NDVI3,-16.90028904,46,73,92,211
-14.1,0.695988483,20.07083017,-0.577696264,Budburstdoublelogistic_SoS_threshold_EVI4,-17.90028904,25,71,116,212
-12.1,0.585733334,20.48302345,-0.370744227,BudburstfilterSoS_threshold_NDVI3,-17.27065941,40,77,98,215
-5.1,0.575988802,20.38653427,-0.344423336,BudburstmintomaxSoS_threshold_NDVI3,-16.97436311,47,76,93,216
-5.1,0.473836106,18.64268515,-0.092934268,BudburstfilterSoS_threshold_EVI13,-13.78917793,93,60,68,221
3.9,-0.059405803,16.86734157,0.288297455,Budburstfilter_cubic_SoS_threshold_NDVI2,6.39600726,160,40,34,234
-33.1,0.582128985,21.84457284,-0.508139882,BudburstSoS_threshold_NDPI3,-18.93732607,42,87,107,236
-9.1,0.582438344,20.97385029,-0.573200663,Budburstcubic_SoS_threshold_EVI4,-18.38177052,41,81,114,236
-10.1,0.580302042,20.95238619,-0.569235289,Budburstcubic_SoS_threshold_NDPI4,-18.34473348,45,80,113,238
-33.1,0.582128985,21.84457284,-0.508139882,BudburstfilterSoS_threshold_NDPI3,-18.93732607,43,88,108,239
-6.1,0.535661009,21.42883785,-0.387991047,BudburstSoS_threshold_NDGI3,-17.19658533,59,83,100,242
-33.1,0.58167412,21.89666904,-0.509662969,BudburstmintomaxSoS_threshold_NDPI3,-18.97436311,44,89,109,242
1.9,0.099284089,16.97961672,0.060125571,Budburstfilterdoublelogistic_SoS_threshold_NDPI2,-9.418807555,149,43,54,246
3.9,-0.008697857,16.97863621,0.119476656,Budburstfilterdoublelogistic_SoS_threshold_EVI2,-8.307696444,154,42,51,247
-6.1,0.533251937,21.52461059,-0.395511207,BudburstmintomaxSoS_threshold_NDGI3,-17.27065941,61,85,101,247
14.9,0.381144008,17.94133118,-0.19298767,Budburstmintomaxcubic_SoS_threshold_EVI13,2.544155408,117,54,77,248
-16.1,0.644664981,22.61540048,-0.715171342,Budburstdoublelogistic_SoS_threshold_NDPI4,-20.52991867,31,98,121,250
1.9,-0.264180924,17.91601503,0.472060366,Budburstcubic_SoS_threshold_NDVI3,4.02563689,190,53,13,256
-6.1,0.524901524,21.99467405,-0.434296264,BudburstfilterSoS_threshold_NDGI3,-17.863252,65,90,103,258
-15.1,0.172012245,17.79531775,-0.109605405,Budburstmintomaxdoublelogistic_SoS_threshold_NDPI2,-11.67806681,138,51,73,262
-6.1,-0.260563181,16.23421419,0.24096412,Budburstdoublelogistic_SoS_threshold_NDVI3,-4.085474221,189,37,38,264
21.9,0.377813162,19.75264393,-0.207704722,Budburstmintomaxcubic_SoS_threshold_EVI1,10.24785911,119,67,80,266
-6.1,-0.05545927,17.18056311,-0.054009021,Budburstcubic_SoS_threshold_NDVI4,-9.566955703,159,45,65,269
8.9,-0.345472208,17.43905233,0.371932883,Budburstfilterdoublelogistic_SoS_threshold_NDVI13,3.544155408,204,47,22,273
-10.1,0.531769776,22.07799382,-0.648308007,Budburstfilter_cubic_SoS_threshold_EVI4,-19.38177052,62,91,120,273
-0.1,-0.341354658,17.35225031,0.306428876,Budburstdoublelogistic_SoS_threshold_NDVI2,4.39600726,202,46,31,279
3.9,-0.405275242,18.03926285,0.473818314,Budburstfilterdoublelogistic_SoS_threshold_NDVI2,-2.270659407,211,57,12,280
-33.1,0.543588665,24.21794307,-0.726241032,BudburstSoS_threshold_NDPI4,-21.52991867,54,105,124,283
-18.1,0.68738873,24.678744,-0.933620994,Budburstdoublelogistic_SoS_threshold_EVI5,-22.93732607,27,114,143,284
8.9,-0.423183331,17.96763591,0.434858289,Budburstmintomaxdoublelogistic_SoS_threshold_NDVI2,2.581192445,214,55,17,286
-33.1,0.543588665,24.21794307,-0.726241032,BudburstfilterSoS_threshold_NDPI4,-21.52991867,55,106,125,286
-1.1,0.183010147,19.37847371,-0.284854432,Budburstmintomaxdoublelogistic_SoS_threshold_EVI3,-14.12251126,137,64,88,289
-33.1,0.543557655,24.26494424,-0.727274732,BudburstmintomaxSoS_threshold_NDPI4,-21.5669557,56,107,126,289
-3.1,-0.376373684,21.52066039,0.648722021,Budburstfilter_cubic_SoS_threshold_NDGI3,4.210822075,207,84,8,299
-10.1,-0.330504729,21.35499154,0.437941893,Budburstfilter_cubic_SoS_threshold_NDGI4,-7.085474221,201,82,16,299
-33.1,0.539101412,24.57426177,-0.741329502,BudburstSoS_threshold_EVI3,-21.82621496,57,113,130,300
-10.1,0.122018844,19.51263713,-0.361159885,Budburstfilter_cubic_SoS_threshold_NDVI4,-14.38177052,145,65,96,306
-11.1,-0.162680861,18.42610783,-0.112961548,Budburstdoublelogistic_SoS_threshold_NDVI4,-10.75214089,177,59,74,310
-33.1,0.514469515,24.71159467,-0.741224274,BudburstSoS_threshold_NDVI4,-21.82621496,69,116,128,313
-33.1,0.530628146,24.7262595,-0.749426667,BudburstmintomaxSoS_threshold_EVI3,-21.93732607,63,117,133,313
-4.1,0.485480589,19.93901006,-1.36624847,BudburstfilterSoS_threshold_NDGI2,-0.381770518,83,70,161,314
7.9,-0.11045478,20.49042596,-0.083152547,Budburstfilter_cubic_SoS_threshold_NDVI13,12.47008133,170,78,67,315
-12.1,0.444672208,22.15220304,-0.603169849,Budburstfilter_cubic_SoS_threshold_NDPI4,-18.97436311,104,93,118,315
0.9,-0.457728869,19.8766732,0.303717259,Budburstmintomaxdoublelogistic_SoS_threshold_NDVI3,-6.900289036,219,68,32,319
-33.1,0.515294664,24.8540015,-0.745792478,BudburstmintomaxSoS_threshold_NDVI4,-21.93732607,68,120,132,320
-33.1,0.517758495,24.88565226,-0.765434804,BudburstfilterSoS_threshold_EVI3,-22.08547422,66,121,135,322
13.9,-0.378203586,19.0840783,0.101941783,Budburstmintomaxdoublelogistic_SoS_threshold_NDVI13,8.544155408,208,62,53,323
-4.1,0.443538369,20.35448545,-0.983660248,BudburstfilterSoS_threshold_NDVI1,6.76637763,105,75,146,326
-33.1,0.505363497,24.83615567,-0.752248529,BudburstfilterSoS_threshold_NDVI4,-21.93732607,74,119,134,327
-9.1,0.557560927,26.78998032,-0.91195789,Budburstmintomaxcubic_SoS_threshold_EVI4,-23.30769644,51,134,142,327
-20.1,0.634480279,27.99036155,-1.131165584,Budburstdoublelogistic_SoS_threshold_NDPI5,-26.27065941,34,144,150,328
14.9,-0.268521613,19.63501928,-0.109519427,Budburstfilterdoublelogistic_SoS_threshold_NDVI1,11.35897022,192,66,72,330
-11.1,0.108553647,22.47255549,-0.319522271,BudburstfilterSoS_threshold_NDPI2,-8.455844592,147,96,90,333
-4.1,0.497253625,22.14992269,-1.593631885,BudburstfilterSoS_threshold_NDGI13,9.284896149,77,92,164,333
3.9,-0.36033268,20.51048131,0.057307862,Budburstdoublelogistic_SoS_threshold_NDVI13,10.28489615,205,79,55,339
-7.1,-0.501331349,24.08537346,0.418197964,Budburstfilter_cubic_SoS_threshold_PPI3,5.247859112,230,103,20,353
1.9,-0.572496548,24.1688351,0.567887087,Budburstfilterdoublelogistic_SoS_threshold_NDGI2,0.136748001,241,104,9,354
-6.1,0.389707498,24.98512478,-0.722012577,Budburstmintomaxcubic_SoS_threshold_NDVI4,-18.52991867,115,122,123,360
-3.1,-0.102743519,22.49837108,-0.374710602,Budburstfilterdoublelogistic_SoS_threshold_EVI3,-16.04843718,168,97,99,364
2.9,-0.385654883,23.54190144,0.000594543,Budburstfilter_cubic_SoS_threshold_NDGI2,12.50711837,210,101,57,368
-16.1,-0.071324722,22.24821645,-0.516860183,Budburstdoublelogistic_SoS_threshold_NDVI5,-16.90028904,163,95,110,368
5.9,-0.571390889,24.491014,0.421475405,Budburstfilterdoublelogistic_SoS_threshold_NDGI13,5.729340593,240,112,18,370
-4.1,-0.46781734,22.18256134,0.045956372,Budburstfilterdoublelogistic_SoS_threshold_NDVI3,-11.1595483,221,94,56,371
-4.1,0.508162046,24.42968783,-2.09402409,BudburstmintomaxSoS_threshold_NDGI13,12.136748,73,110,193,376
-6.1,-0.080411567,24.0587232,-0.531190978,Budburstfilterdoublelogistic_SoS_threshold_NDPI3,-18.23362237,165,102,111,378
-4.1,0.432909369,21.81250151,-1.767658931,BudburstmintomaxSoS_threshold_NDGI2,1.136748001,107,86,186,379
-7.1,0.107684699,24.69283545,-0.721580839,Budburstmintomaxdoublelogistic_SoS_threshold_EVI4,-20.38177052,148,115,122,385
-13.1,-0.585336458,25.36154148,0.325957029,Budburstdoublelogistic_SoS_threshold_NDGI4,-2.641029777,245,123,28,396
21.9,0.587819488,29.75655435,-2.391900684,BudburstfilterSoS_threshold_NDGI1,22.09971096,39,157,200,396
-4.1,0.471107335,23.25113156,-2.467737153,BudburstfilterSoS_threshold_PPI2,2.618229482,95,99,202,396
-5.1,0.297986566,25.59094419,-0.958500105,BudburstSoS_threshold_PPI4,-16.27065941,127,126,144,397
14.9,-0.153061633,24.43317101,-0.559973417,Budburstfilter_cubic_SoS_threshold_NDVI1,18.47008133,175,111,112,398
-12.1,0.292377241,25.90982989,-0.976183115,BudburstfilterSoS_threshold_PPI4,-16.71510385,128,127,145,400
20.9,-0.30720594,23.32292756,-0.464388359,Budburstmintomaxdoublelogistic_SoS_threshold_NDVI1,16.65526652,197,100,105,402
1.9,0.133237506,24.42848203,-1.283048237,Budburstmintomaxcubic_SoS_threshold_NDVI3,-3.937326073,144,109,156,409
-5.1,-0.566990639,25.91529736,0.154037865,Budburstfilterdoublelogistic_SoS_threshold_NDGI3,-8.641029777,237,128,46,411
-6.1,-0.491651381,24.26955689,-0.204192492,Budburstmintomaxdoublelogistic_SoS_threshold_NDVI4,-14.5669557,224,108,79,411
-24.1,-0.010480969,25.49102442,-0.745151715,Budburstmintomaxdoublelogistic_SoS_threshold_NDPI3,-20.75214089,156,125,131,412
-4.1,0.568594921,30.95790982,-2.628685388,BudburstfilterSoS_threshold_PPI1,22.87748874,49,163,204,416
-18.1,-0.568461307,25.94890591,0.124428131,Budburstdoublelogistic_SoS_threshold_NDGI5,-9.752140888,238,129,50,417
-1.1,-0.51167159,25.44942314,-0.097059529,Budburstfilter_cubic_SoS_threshold_PPI2,13.8404517,231,124,70,425
4.9,-0.634880948,26.34776435,0.191738969,Budburstmintomaxdoublelogistic_SoS_threshold_NDGI3,1.39600726,251,132,43,426
-33.1,0.473998807,32.03882834,-1.595948211,BudburstSoS_threshold_NDPI5,-26.82621496,91,171,165,427
-33.1,0.493238607,32.08961146,-1.605324865,BudburstSoS_threshold_EVI4,-27.08547422,80,175,172,427
-5.1,0.377972357,24.72912597,-2.023178845,BudburstfilterSoS_threshold_PPI3,-9.122511259,118,118,191,427
