物种名	内容
棘皮桦	"10.黑桦（东北）棘皮桦（河北习见树木图说）图版28：10-12
    Betula dahurica Pall., Reise Prov. Russ. Reich. 3: 224. not. 321. 421. t. K k.fig. 4 a-b. 1776; Regel in Nouv. Mem. Nat. Moscou 13: 113. t. 8. fig. 36-39. t. 10. fig. 14 40. 1861. et Bull. Soc, Nat. Moscou 38 C2): 441. 1865. et DC., Prodr. 16 ( 2): 174. 1868. excl. var. .; Burk. in Journ. Linn. Soc. Bot. 26: 498. 1899; Kom. in Acta Horti Petrop. 22: 45. 1903; Schneid., Ill. Laubho-lzk. 1: 109. fig. 57. k-k. 60 p. 1904. et Sarg., Pl. Wils,. 2: 483. 1916; H. Winkl. in Engler, Pflanzenreich 19 ( IV 61): 86. 1904; Nakai in Journ. Coll. Sci. Tokyo 31: 203. 1911. et Bot. Mag. Tokyo 29: 42. 1915; Chun, Econ. Trees China 78. 1921; Rehd. in Journ. Arn. Arb. 4: 155. 1923. et Man. Cult. Trees and Shrubs ed. 2. 132. 1940;胡先骕, 中国植物图谱3: 图107. 1933; 中国森林树木图志2: 35. 图版14. 1948;周汉藩, 河北习见树木图说99.图33. 1934; Кузенева.CCCP 5: 290. Табл. 14. рнс. 5-5a. 5b. 1936;　陈嵘, 中国树木分类学151.1937; 刘慎谔, 东北木本植物图志196. 图版67. 图94. 图版68. 2. 3. 图1-8. 1955.,Ohwi, Fl. Jap. 373. 1965;中国高等植物图鉴1: 389.图778. 1972. ——Betula maximowiczii Rupr. in Bull. Acad. Sci. St. Petersb. 15: 139, 1856, 15: 379. 1857. Betula maackii Rupr., l. c. 380. 1857. ——Betula dahurica Pall. var. tiliaefolia, var. oblongifolio, var. ovalifolia Liou,文献同上196. 图版67. 图95-96. 图版68. 2. 3. 图9-11图版69. 图97. 1955. 
    乔木，高6-20米；树皮黑褐色，龟裂；枝条红褐色或暗褐色，光亮，无毛；小枝红褐色，
疏被长柔毛，密生树脂腺体。叶厚纸质，通常为长卵形，间有宽卵形、卵形、菱状卵形或椭
圆形，长4-8厘米，宽3.5-5厘米，顶端锐尖或渐尖，基部近圆形、宽楔形或楔形，边缘具
不规则的锐尖重锯齿，上面无毛，下面密生腺点，沿脉疏被长柔毛，脉腋间具簇生的髯毛，
侧脉6-8对；叶柄长约5-15毫米，疏被长柔毛或近无毛。果序矩圆状圆柱形，单生，直
立或微下垂，长2-2.5厘米，直径约l厘米；序梗长约5-12毫米，疏被长柔毛或几无毛，
有时具树脂腺体；果苞长约5.-T6毫米，背面无毛，边缘具纤毛，基部宽楔形，上部三裂，中裂片矩圆形或披针形，顶端钝，侧裂片卵形或宽卵形，斜展，横展至下弯，比中裂片宽，与之等长或稍短。小坚果宽椭圆形，两面无毛，膜质翅宽约为果的1/2。
    产于黑龙江、辽宁北部、吉林东部、河北、山西、内蒙古。生于海拔400-1300米干燥、
土层较厚的阳坡、山顶石岩上、潮湿阳坡、针叶林或杂木林下。苏联、蒙古东部、朝鲜、日本也有。模式标本采自苏联。 
    木材质重，心材红褐色，边材淡黄色，可做火车车厢、车轴、车辕、胶合板、家具、枕木及建筑用材。"
核桃楸	
大叶白蜡	"19. 花曲柳（东北，东北木本植物图志）大叶白蜡树（中国树木分类学），大叶梣（河北习见树木图说）图版9:1-4
        Fraxinus rhynchophylla Hance in Journ. Bot. 7: 164. 1869; V. Vassil. in Fl. URSS. 18: 489, f. 25, 9. 1952; 东北木本植物图志466. 1955; 秦岭植物志1(4): 70.  1983. ——F. chinensis Roxb. var. rhynchophylla (Hance) Hemsl. in Journ. Linn. Soc.  Bot. 26: 86. 1889; Lingelsh. in Engl. Pflanzenr. 72(IV-243): 29, f. 8, B-C. 1920; 周汉藩, 河北习见树木图说216, 图138. 1934; 陈嵘, 中国树木分类学1059, 图942. 1937.——F. hopeiensis Tang in Bull. Fan Mem. Inst, Biol. 2:101. 1931; 陈嵘, 中国树木分类学1060, 图943. 1937; 华北树木志571, 图605. 1984. ——F. obovata auct. non Bl. 1850: S. S. Sun in Bull. Bot. Res. 8(1): 56. 1988.
        落叶大乔木，高12-15米，树皮灰褐色，光滑，老时浅裂。冬芽阔卵形，顶端尖，黑褐色，具光泽，内侧密被棕色曲柔毛。当年生枝淡黄色，通直，无毛，去年生枝暗褐色，皮孔散生。羽状复叶长15-35厘米；叶柄长4-9厘米，基部膨大；叶轴上面具浅沟，小叶着生处具关节，节上有时簇生棕色曲柔毛；小叶5-7枚，革质，阔卵形、倒卵形或卵状披针形，长3-11（-15） 厘米，宽2-6（-8）厘米，营养枝的小叶较宽大，顶生小叶显著大于侧生小叶，下方1对最小，先端渐尖、骤尖或尾尖，基部钝圆、阔楔形至心形，两侧略歪斜或下延至小叶柄，叶缘呈不规则粗锯齿，齿尖稍向内弯，有时也呈波状，通常下部近全缘，上面深绿色，中脉略凹入，脉上有时疏被柔毛，下面色淡，沿脉腋被白色柔毛，渐秃净，细脉在两面均凸起；小叶柄长0.2-1.5厘米，上面具深槽。圆锥花序顶生或腋生当年生枝梢，长约10厘米；花序梗细而扁，长约2厘米；苞片长披针形，先端渐尖，长约5毫米，无毛，早落；花梗长约5毫米；雄花与两性花异株；花萼浅杯状，长约1毫米，萼毛三角形无毛；无花冠；两性花具雄蕊2枚，长约4毫米，花药椭圆形，长约3毫米，花丝长约1毫米，雌蕊具短花柱，柱头2叉深裂；雄花花萼小，花丝细，长达3毫米。翅果线形，长约3.5厘米，宽约5毫米，先端钝圆、急尖或微凹，翅下延至坚果中部，坚果长约1厘米，略隆起；具宿存萼。花期4-5月，果期9-10月。
        产于东北和黄河流域各省。生山坡、河岸、路旁，海拔1 500米以下。苏联、朝鲜也有分布。模式标本采自河北北部。
        本种对气候、土壤要求不严，木材质地坚韧，纹理美丽而略粗，各地常引种栽培，作行道树和庭园树；树皮供药用。见于长江流域各省，福建、云南和西藏也有栽培。
        唐进在1931年根据采自北京妙峰山的标本（花具花冠），发表河北白蜡树F. hopeiensis Tang。但是C. K. Schneider、中井猛之进等都提到本种的两性花有时具花冠裂片2-4枚，是异常生理现象，我国一些学者也在妙峰山作过观察，证明确实存在这现象，认为应予以归并。又日本产的F. japonica Bl. ex K. Koch，树皮称“秦皮”，用以治眼病；在形态上与本种难以区别，近年来一些日本学者主张将它与本种合并。
        Rlume 根据一份栽种在日本的植物标本，发表了F. obovata Bl. (in Mus. Bot. Lugd. fat. 1:311．1850)，该标本是一片无花无果的羽状复叶。Lingel sheim 于1920年写梣属专著时认为不是本属植物。中池敏之于1972年作为 F. longicuspis Sieb. &Zucc. 的异名处理。孙三省近来在吉林野外观察时，根据花曲柳树干基部萌生枝条上的叶片，很象中井猛之进和小泉源一在《大日本树木志》中所仿该标本的图，1988年在《植物研究》三卷1期上主张起用这废弃已久的学名，谨志于此。"
辽东栎	"18. 辽东栎（河北习见树木图说）辽东柞（中国树木分类学）柴树 图版74: 3
        Quercus wutaishanica Mayr, Fremdl. Wald-u. Parkbaume fur. Europa 504. 1906; G. Menits. in Nov. Syst. Pl. Vas. 10: 115. 1993.——Q. liaotungensis Koidz. in Bot. Mag. Tokyo 26: 166. 1912; A. Camus, Chenes 2: 145. 1938-39. Atlas 2. Pl. 100. f. 1-21. 1935-36; 陈嵘, 中国树木分类学197. 1937; 东北木本植物图志222. 1955; 中国高等植物图鉴1: 461.图922. 1972;秦岭植物志1(2): 80.图71. 1974;河南植物志1: 253.图309. 1981;中国树木志2: 2342.图1179, 3. 1985; 黑龙江树木志208.图53, 3. 1986; 辽宁植物志, 上册: 263. 1988.——Q. mongolica var. liaotungensis (Koidz.) Nakai in Bot. Mag. Tokyo 29: 58. 1915. 
        落叶乔木，高达15米，树皮灰褐色，纵裂。幼枝绿色，无毛，老时灰绿色，具淡褐色圆形皮孔。叶片倒卵形至长倒卵形，长5-17厘米，宽2-10厘米，顶端圆钝或短渐尖，基部窄圆形或耳形，叶缘有5-7对圆齿，叶面绿色，背面淡绿色，幼时沿脉有毛，老时无毛，侧脉每边5-7 (-10) 条；叶柄长2-5毫米，无毛。雄花序生于新枝基部，长5-7厘米，花被6-7裂，雄蕊通常8；雌花序生于新枝上端叶腋，长0.5-2厘米，花被通常6裂。壳斗浅杯形，包着坚果约1/3，直径1.2-1.5厘米，高约8毫米；小苞片长三角形，长1.5毫米，扁平微突起，被稀疏短绒毛。坚果卵形至卵状椭圆形，直径1-1.3厘米，高1.5-1.8厘米，顶端有短绒毛；果脐微突起，直径约5毫米。花期4-5月，果期9月。
        产黑龙江、吉林、辽宁、内蒙古、河北、山西、陕西、宁夏、甘肃、青海、山东、河南、四川等省区。在辽东半岛常生于低山丘陵区，在华北地区常生于海拔600-1 900米的山地，在陕西和四川北部可达海拔2 200-2 500米，常生于阳坡、半阳坡，成小片纯林或混交林。朝鲜北部也有分布。
        木材结构较粗，边材黄褐色，心材深褐色，气干密度0.83克/立方厘米，叶含蛋白质17.97％，种子含淀粉51.3％，单宁8.3％；叶可饲柞蚕，种子可酿酒或作饲料。"
山桃	"4．山桃草属Gaura L.
    Linn. Sp. Pl. 1: 347. 1753; et Gen. Pl. ed. 5. 163. 1754; Benth. et Hook. f., Gen. Pl. 1: 793. 1865; Engl. et Prantl in Engl. Nat. Pflanzenfam. 2 (7): 218. 1893; Raven et Gregory in Mem. Torrey Bot. Club 23 (1): 9. 1972. 
    一年生、二年生或多年生草本，有时近基部木质化。叶具基生叶与茎生叶，基生叶较大，排成莲座状，向着基部渐变狭成具翅的柄；茎生叶互生，具柄或无柄，向上逐渐变小，全缘或具齿。花序穗状或总状。花常4数，稀3数，两侧对称，花瓣水平地排向一侧，雄蕊与花柱伸向花的另一侧，花常在傍晚开放，开放后一天内就凋谢；花管狭长，由花萼、花冠与花丝之一部分合生而成，其内基部有蜜腺，萼片4，花期反折，花后脱落；花瓣4，通常白色，受粉后变红色，具爪；雄蕊为萼片的2倍，近等长，每一花丝基部内面有1小的鳞片状附属体；花药常带红色，2药室间具药隔；子房4室，稀3室，每室有1枚胚珠，但并不都发育；花柱线形，被毛；柱头深4（稀3）裂，常高出雄蕊。蒴果坚果状，不开裂，具4 (-3)条棱。种子常卵状，柔软光滑。
    21种，产北美洲的墨西哥。我国栽培有3种，并逸为野生杂草。"
胡枝子	"亚族2. 胡枝子亚族 Subtrib. LESPEDEZINAE (Hutch.) Schubert 
    Schubert in Polhill et Raven, Adv. Leg. Syst. 1: 300. 1981. ——Lespedezeae Hutch. Gen. Fl. Pl. 1:486. 1964.
        植物体无钩状毛。小托叶缺，小叶（1-）3。荚果通常仅1荚节，有1种子。
        亚族模式属：胡枝子属 Lespedeza Mich.
        本亚族我国有4属。"
绒毛绣线菊	"18. 绒毛绣线菊 图版3：1-4
    Spiraea velutina Franch. Pl. Delav. 201. 1889. 
    灌木，高约2米；枝条开展，粗壮，幼时密被短柔毛，黄褐色，老时灰褐色；冬芽长卵形，先端渐尖，外面密被绒毛，有2枚外露鳞片。叶片卵形或卵状披针形，长3-8厘米，宽1.5-3.5厘米，先端急尖，基部楔形，边缘有粗单锯齿，少数有重锯齿，上面深绿色，有稀疏短柔毛，下面密被绢状长柔毛，尤其沿叶脉处较多；叶柄长3-5毫米，密被长柔毛。复伞房花序着生在侧生小枝顶端，直径4-7厘米，在果期有时达14厘米，多花，被细长柔毛；花梗长5-7毫米；苞片线状披针形或卵状披针形，两面具长柔毛；花直径5-6毫米；萼筒钟状，内外两面被短柔毛；萼片三角形，先端急尖；花瓣几圆形，先端钝，长2-3毫米，宽几与长相等，白色；雄蕊20，长于花瓣；花盘圆环形，有10个肥厚裂片，裂片先端常微凹；子房密被灰白色短柔毛，花柱短于雄蕊。蓇葖果开张，全体被短柔毛，花柱顶生，稍倾斜开展，常具反折萼片。花期5-6月，果期8-10月。
    产云南、西藏。在杂木林内常见，也生于山坡或沟边，海拔2500米。模式标本采自云南鹤庆。
    本种和南川绣线菊 S. rosthornii Pritz. 的区别在于冬芽外被绒毛，叶片边缘有单锯齿或重锯齿。"
山杏	"2．山杏（东北木本植物图志）西伯利亚杏（中国树木分类学），西伯日-归勒斯（蒙语）
        Armeniaca sibirica (L.) Lam. Encycl. Meth. Bot. 1: 3. 1783: DC. Prodr. 532. 1825; Kost. in Kom. Fl. URSS 10:590. pl. 38. f. 4. 1941: 东北木本植物图志317. 图版 110. 图232. 1955; 俞德浚, 中国果树分类学47. 图15. 1979. ——Prunus sibirica L. Sp. Pl. 474. 1753; Schneid. Ill. Handb. Laubh. 1:636. f. 349c. 350g-h. 1906;陈嵘,  中国树木分类学466. 1937;中国高等植物图鉴2: 306. 图2342. 1972;内蒙古植物志3: 125. 图版65. 图1-5. 1977. ——Prunus armeniaca L. var. sibirica (L.) K. Koch, Dendr. 1: 88. 1869: Maxim. in Bull. Acad. Sci. St. Petersb. 29: 86. 1883.     灌木或小乔木，高2-5米；树皮暗灰色；小枝无毛，稀幼时疏生短柔毛，灰褐色或淡红褐色。叶片卵形或近圆形，长（3）5-10厘米，宽（2.5）4-7厘米，先端长渐尖至尾尖，基部圆形至近心形，叶边有细钝锯齿，两面无毛，稀下面脉腋间具短柔毛；叶柄长2-3.5厘米，无毛，有或无小腺体。花单生，直径1.5-2厘米，先于叶开放；花梗长1-2毫米；花萼紫红色；萼筒钟形，基部微被短柔毛或无毛；萼片长圆状椭圆形，先端尖，花后反折；花瓣近圆形或倒卵形，白色或粉红色；雄蕊几与花瓣近等长；子房被短柔毛。果实扁球形，直径1.5-2.5厘米，黄色或桔红色，有时具红晕，被短柔毛；果肉较薄而干燥，成熟时开裂，味酸涩不可食，成熟时沿腹缝线开裂；核扁球形，易与果肉分离，两侧扁，顶端圆形，基部一侧偏斜，不对称，表面较平滑，腹面宽而锐利；种仁味苦。花期3-4月，果期6-7月。
        产黑龙江、吉林、辽宁、内蒙古、甘肃、河北、山西等地。生于干燥向阳山坡上、丘陵草原或与落叶乔灌木混生，海拔700-2000米。蒙古东部和东南部、苏联远东和西伯利亚也有。
        本种耐寒（可达一50°C 低温），又抗旱，可作砧木，是选育耐寒杏品种的优良原始材料。种仁供药用，可作扁桃的代用品，并可榨油。我国东北和华北地区大量生产种仁，供内销和出口。"
金花忍冬	"65. 金花忍冬（中国北部植物图志）黄花忍冬（东北木本植物图志）
    Lonicera chrysantha Turcz. in Bull. Soc. Nat. Mosc. 11: 93. 1838, nom. nud., et ex Ledeb. Fl. Ross. 2 (1): 388. 1844; 郝景盛, 中国北部植物图志3: 45, 图16. 1934; 刘慎谔等, 东北木本植物图志516, 图版 CLXVII, 417 及 CLXVIII, 1-8. 1955; 中国高等植物图鉴4: 293, 图6000. 1975; 徐炳声、王汉津, 植物分类学报22 (1): 28. 1984. ——L. xylosteum Linn. β. chrysantha Regel in Bull. Phys. -Math. Acad. Sci. St. Petersb. 15: 221. 1857, quoad basionym. ——Caprifolium chrysanthum O. Ktze, Rev. Gen. Pl. 1: 274. 1891. ——L. chrysantha Turcz. var. longipes Maxim. in Bull. Acad. Sci. St. Petersb. 24 (in Mel. Biol. 10: 68): 44. 1878. 
    落叶灌木，高达4米；幼枝、叶柄和总花梗常被开展的直糙毛、微糙毛和腺。冬芽卵状披针形，鳞片5-6对，外面疏生柔毛，有白色长睫毛。叶纸质，菱状卵形、菱状披针形、倒卵形或卵状披针形，长4-8 (-12) 厘米，顶端渐尖或急尾尖，基部楔形至圆形，两面脉上被直或稍弯的糙伏毛，中脉毛较密，有直缘毛；叶柄长4-7毫米。总花梗细，长1.5-3 (-4) 厘米；苞片条形或狭条状披针形，长2.5 (-8) 毫米，常高出萼筒；小苞片分离，卵状矩圆形、宽卵形、倒卵形至近圆形，长约1毫米，为萼筒的1/3-2/3；相邻两萼筒分离，长2-2.5毫米，常无毛而具腺，萼齿圆卵形、半圆形或卵形，顶端圆或钝；花冠先白色后变黄色，长 (0.8-) 1-1.5 (-2) 厘米，外面疏生短糙毛，唇形，唇瓣长2-3倍于筒，筒内有短柔毛，基部有1深囊或有时囊不明显；雄蕊和花柱短于花冠，花丝中部以下有密毛，药隔上半部有短柔伏毛；花柱全被短柔毛。果实红色，圆形，直径约5毫米。花期5-6月，果熟期7-9月。
    产黑龙江南部、吉林东部、辽宁南部、内蒙古南部、河北、山西、陕西、宁夏和甘肃的南部、青海东部、山东（泰山）、江西（庐山）、河南西部、湖北（武当山）及四川东部（巫山）和北部。生于沟谷、林下或林缘灌丛中，海拔250-2000米，在四川、甘肃和青海可达3000米。朝鲜北部和苏联西伯利亚东部也有分布。"
卫矛	"5.卫矛亚目——CELASTRINEAE
    木本。花具花萼和花瓣，辐射对称；通常具花盘；雄蕊2-1轮；心皮通常少于花基数    
    本亚目我国有6科。"
毛叶丁香	
毛榛	"7．毛榛（东北木本植物图志）毛榛子、火榛子（东北）图版13：11-12
    Corylus mandshurica Maxim. et Rupr. in Bull. Acad. Sci. St. Petersb. 
15: 137. 1856; Burk. in Journ. Linn. Soc. Bot. 26: 505. 1899; Kom. in Acta
Horti Petrop. 22: 63. 1903; Schneid., Ill, Handb. Luabholzk: 1: 150. fig. 83
1-m. 87 d-f. 1904; Nakai in Journ. Coll. Sci. Univ. Tokyo 31: 206. 1911. et
in Bot. Mag. Tokyo 29: 36. 1915; Beргилия, фл. CCCP 5: 268. 1936; 刘慎谔, 
东北木本植物图志214.图版80.图119. 1955;中国高等植物图鉴 1: 398.图795. 1972. ——Corylus rostrata Ait. var. mandshurica (Maxim.) Regel in Acad. Sci. st. Petersb. 15: 221. 1857. ——Corylus sieboldiana Bl. var. mandshurica (Maxim. et Rupr.) Schneid. in Sarg., Pl. Wils. 2: 454. 1916;陈嵘, 中国树木分类学175. 1937; Ohwi, Fl. Jap. 372. 1965; 秦岭植物志1 (2): 59. 图47. 1974. 
    灌木，高31 4米；树皮暗灰色或灰褐色；枝条灰褐色，无毛；小枝黄褐色，被长柔毛，下部的毛较密。叶宽卵形、矩圆形或倒卵状矩圆形，长6-12厘米，宽4-9厘米，顶端骤尖
或尾状，基部心形，边缘具不规则的粗锯齿，中部以上具浅裂或缺刻，上面疏被毛或几无
毛，下面疏被短柔毛，沿脉的毛较密，侧脉约7对；叶柄细瘦，长1-3厘米，疏被长柔毛及
短柔毛。雄花序2-4枚排成总状；苞鳞密被白色短柔毛。果单生或2-6枚簇生，长3-6厘米；果苞管状，在坚果上部缢缩，较果长2-3倍，外面密被黄色刚毛兼有白色短柔毛，上部浅裂，裂片披针形；序梗粗壮，长1.5-2厘米，密被黄色短柔毛。坚果几球形，长约1.5厘米，顶端具小突尖，外面密被白色绒毛。
    产于黑龙江、吉林、辽宁、河北、山西、山东、陕西、甘肃东部、四川东部和北部。生于海拔400-1500米的山坡灌丛中或林下。朝鲜、苏联远东地区、日本也有。模式标本采自黑
龙江流域上游。
    种子可食。"
五角枫	"6. 色木槭（东北木本植物图志）水色树（中国树木分类学），地锦槭（中国高等植物图鉴），五角枫（华北经济植物志要），五角槭（江苏南部种子植物手册）图版19：1 
    Acrer mono Maxim. in Bull. Phys.-Math. Acad. Sc. St. Petersb. 15: 126 (in Mel. Biol. 2: 416. 1857) 1857; Fang in Contrib. Biol. Lab. Sc. Soc-China bot. ser. 11: 25. 1939.——A. pictum Thunb. Fl. Jap. 126. 1784, non Thunb. Nova Acta Reg. Soc. Sc. Upsal. 4: 40. 1783〔＝Kalapanax pictus (Thunb.) Na. kai]; Pax in Engl. Pflanzenreich 8 (IV. 163): 47, 1902.——A. pictum var. typicum subvar. mono (Maxim.) Maxim. in Bull. Acad. Sc. St. Petersb. 26: 443 (in Mel. Biol.10: 600. 1880) 1880; Pax in Engl. Pflanzenreich 8 (IV. 163): 47.1902.——A. pictum var. mono (Maxim.) Maxim. ex Franch. in Nouv. Arch. Mus.Hist.Nat.Paris 11.5: 229 (Pl. David. 2: 77. 1884) 1883.——A. lobelia subsp. pictum (Thunb.) Wesmael in Bull. Soc. Bot. Belg. 29: 56. 1890.——A. pictum var. parviflorum (Regel) Schneid. Ill. Handb. Laubh. 2: 225. f. 151. g. 1907. ——A. truncatum subsp. mono (Maxim.) E. Murr. Kalmia 1: 7. 1969. ——A.cappadocicum subsp. truncatum (Bunge) E. Murr. op. cit. 8: 5. 1977, pro parte. 
    落叶乔木，高达15-20米，树皮粗糙，常纵裂，灰色，稀深灰色或灰褐色。小枝细瘦，无毛，当年生枝绿色或紫绿色，多年生枝灰色或淡灰色，具圆形皮孔。冬芽近于球形，鳞片卵形，外侧无毛，边缘具纤毛。叶纸质，基部截形或近于心脏形，叶片的外貌近于椭圆形，长6-8厘米，宽9-11厘米，常5裂，有时3裂及7裂的叶生于同一树上；裂片卵形，先端锐尖或尾状锐尖，全缘，裂片间的凹缺常锐尖，深达叶片的中段，上面深绿色，无毛，下面淡绿色，除了在叶脉上或脉腋被黄色短柔毛外，其余部分无毛；主脉5条，在上面显著，在下面微凸起，侧脉在两面均不显著；叶柄长4-6厘米，细瘦，无毛。花多数，杂性，雄花与两性花同株，多数常成无毛的顶生圆锥状伞房花序，长与宽均约4厘米，生于有叶的枝上，花序的总花梗长l-2厘米，花的开放与叶的生长同时；萼片5，黄绿色，长圆形，顶端钝. 形，长2-3毫米；花瓣5，淡白色，椭圆形或椭圆倒卵形，长约3毫米；雄蕊8，无毛，比花瓣短，位于花盘内侧的边缘，花药黄色，椭圆形；子房无毛或近于无毛，在雄花中不发育，花，柱无毛，很短，柱头2裂，反卷；花梗长1厘米，细瘦，无毛。翅果嫩时紫绿色，成熟时淡黄色；小坚果压扁状，长1-1.3厘米，宽5-8毫米；翅长圆形，宽5-10毫米，连同小坚果长2-2.5厘米，张开成锐角或近于钝角。花期5月，果期9月。 
    产东北、华北和长江流域各省。生于海拔800-1500米的山坡或山谷疏林中。苏联西伯利亚东部、蒙古、朝鲜和日本也有分布。模式标本采自苏联西伯利亚东部。
    本种分布很广，用途很多，树皮纤维良好，可作人造棉及造纸的原料，叶含鞣质，种子
榨油，可供工业方面的用途，也可作食用，木材细密。可供建筑、车辆、乐器和胶合板等制
造之用。"
